Id,Date Posted,Product Title,Price,Area,Price per m²,calc price,Bedrooms,Toilets,Location,Coordinates
39528974,28/02/2025,"CC bán căn hộ An Bình City (căn góc) 3PN, 2WC, 2BC giá siêu rẻ. LH: 0989 386 ***",-1.0,83.0,0.0,1.0,3,2,"Cổ Nhuế 1, Bắc Từ Liêm",N/A
39524613,28/02/2025,"Chính chủ cần bán căn hộ An Bình City (căn góc) 3PN, 2WC, 2BC, giá siêu mềm. LH: 0989 386 ***",-1.0,83.0,0.0,1.0,3,2,"Cổ Nhuế 1, Bắc Từ Liêm",N/A
41768502,28/02/2025,Bán căn hộ 2PN giá rẻ hơn 1 tỷ,1.98,52.0,38.08,0.0,2,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.0525876402181, 105.78880835649"
42296203,28/02/2025,"Bán Căn hộ Chung cư Phạm Văn Đồng, 55m2, 2 ngủ, 2WC, Ban công thoáng, Full nội thất, về ở luôn!",4.05,55.0,73.64,0.0,2,2,"Cổ Nhuế 1, Bắc Từ Liêm",N/A
40293251,28/02/2025,Siêu hiếm! Em Thủy chuyên dự án đang có quỹ 03 căn 2 ngủ giá tốt cần bán nhanh tại An Bình City,5.5,72.0,76.39,0.0,2,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.049566, 105.778595"
42102329,28/02/2025,"Cần bán chung cư CC Anland Lake View, DT 74m2, lô góc, 2 ngủ 2wc, full nội thất xịn. Sổ đỏ đẹp",-1.0,74.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.983278097223746, 105.75788299932488"
33054308,28/02/2025,"Chính chủ bán căn góc 2PN, 74m2. Full nội thất, giá 4.x tỷ. LH 0963 225 ***",-1.0,74.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.9830436706543, 105.757339477539"
41156359,28/02/2025,"Chính chủ bán nhanh CH 59m2 tại CT7 Dương Nội nhà đẹp như hình 2n 2vs giá chỉ 3,x tỷ gia lộc thêm",-1.0,59.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.981019973754883, 105.75489807128906"
41027334,28/02/2025,"Chính chủ bán căn hộ 97m2 - 3PN+1ĐN, Đông Nam, full NT tại cc Terra An Hưng giá 6tỷ, 0975 645 ***",-1.0,97.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.9743461608887, 105.754165649414"
41256197,28/02/2025,"Cần bán căn góc 62m2 CT7HJK Park View Dương Nội, 2pn + 2Vs. Sẵn nội thất ở luôn",-1.0,62.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.9643268585205, 105.749549865723"
41691822,28/02/2025,Cần bán căn góc siêu thoáng đẹp DT 81m2 trục 04 ko đối diện nhà ai nhà sẵn nội thất sẵn sổ,-1.0,81.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.981019973754883, 105.75489807128906"
41731382,28/02/2025,"Chính chủ Bán Gấp căn 2 Ngủ, tầng Trung, ban công Đông Nam, giá 2,9 tỷ CC CT7F Dương Nội , Hà Đông.",-1.0,54.0,0.0,1.0,2,1,"Dương Nội, Hà Đông","20.9643268585205, 105.749549865723"
39827116,28/02/2025,"Cần bán 55m2(2PN1VS) giá 3.x tỷ tại chung cư Anland Premium giá tốt nhất thị trường, lh 0975 645 ***",-1.0,55.0,0.0,1.0,2,1,"Dương Nội, Hà Đông","20.9772338867188, 105.76195526123"
41780133,28/02/2025,"Chính chủ bán căn 2PN 2VS, dt 74m2, view biệt thự, tầng 1x siêu đẹp Anland 3, giá 4,x tỷ 0975 645 ***",-1.0,74.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.983066487931833, 105.75727052366105"
41371637,28/02/2025,"Bán căn 74m2(2 ngủ 2vs) ban công Đông Nam, full nội thất cực hiếm chung cư Terra An Hưng 0975 645 ***",-1.0,74.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.974346160888672, 105.75416564941406"
41668360,28/02/2025,Chính chủ bán căn góc trục 03 tại Toà CT8A Dương Nội nhà sạch đẹp kh về làm nội thất theo ý sẵn sổ,-1.0,86.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.979867935180664, 105.7439193725586"
41732106,28/02/2025,Chính chủ cần bán căn hộ 56m2 nhà đẹp hướng mát tầng trung full đồ sẵn sổ,-1.0,56.0,0.0,1.0,N/A,N/A,"Dương Nội, Hà Đông","20.979867935180664, 105.7439193725586"
41592924,28/02/2025,"Cần bán gấp căn hộ CT8 Dương Nội, dt 86m2, nhà nguyên bản giá 3.5x tỷ",-1.0,86.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.979867935180664, 105.7439193725586"
37060661,28/02/2025,"Bán gấp căn 74m2 tầng cao chung cư Anland LakeView giá 4,x tỷ full đồ, hỗ trợ vay ngân hàng",-1.0,74.0,0.0,1.0,2,2,"Dương Nội, Hà Đông","20.9830436706543, 105.757339477539"
42290419,28/02/2025,"Căn hộ đẹp tại The Sparks, CT7 Dương Nội, Hà Đông, Hà Nội, 2,75 tỷ, 54m2",2.75,54.0,50.93,0.0,2,1,"Dương Nội, Hà Đông","20.980351896646855, 105.74421501760308"
39471572,28/02/2025,"Cần tiền kinh doanh bán gấp 55m2 chung cư HH2 Xuân Mai, 2PN full đồ giá 2.9 tỷ",2.9,55.0,52.73,0.0,2,1,"Dương Nội, Hà Đông","20.9846420288086, 105.774719238281"
40240589,28/02/2025,Bán nhanh căn góc 2PN 2WC diện tích 62m2 giá 3 tỷ tại tòa mới HJK chung cư ParkView Dương Nội,3.0,62.0,48.39,0.0,2,2,"Dương Nội, Hà Đông","20.9643268585205, 105.749549865723"
29018394,28/02/2025,"Cần bán căn 62m2 chung cư HH2 Xuân Mai Dương Nội, 2PN, giá 3.12 tỷ",3.12,62.0,50.32,0.0,2,2,"Dương Nội, Hà Đông","20.9810199737549, 105.754898071289"
41980252,28/02/2025,Chính chủ cần bán căn hộ 3 phòng ngủ tại CT8 Dương Nội nhà full nội thất sẵn sổ giao dịch luôn,3.8,86.0,44.19,0.0,3,2,"Dương Nội, Hà Đông","20.980697992415276, 105.74408179467108"
42098355,28/02/2025,Cần nhượng lại căn 86m2 tại CT8D nhà đã sửa thành 3 ngủ sẵn full nội thất hết chỉ việc vào ở,3.8,86.0,44.19,0.0,3,2,"Dương Nội, Hà Đông","20.980112508519532, 105.74349176508714"
