Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location
"Lý Nam Đế - khu vip an ninh tuyệt đối, đẳng cấp giới tinh hoa - chủ tặng full nội thất","6,5 tỷ",70 m²,"92,86 tr/m²",2,2,"Hàng Mã, Hoàn Kiếm"
Cần bán căn hộ Pacific Place - Lý Thường Kiệt - Hà Nội giá từ 60 triệu/m2,"4,12 tỷ",71 m²,58 tr/m²,1,1,"Trần Hưng Đạo, Hoàn Kiếm"
Bán căn hộ tầng 2 mặt phố Phan Bội Châu,12 tỷ,110 m²,"109,09 tr/m²",3,N/A,"Trần Hưng Đạo, Hoàn Kiếm"
"Vip nhất phố cổ, tập thể Ngô Quyền, Hoàn Kiếm, kinh doanh, ban công view phố, 50m2 chỉ 4,39 tỷ","4,39 tỷ",50 m²,"87,8 tr/m²",1,1,"Trần Hưng Đạo, Hoàn Kiếm"
"KING CROW INFINITY - CĂN HỘ 2PN HẠNG SANG ĐỘC TÔN TRUNG TÂM TP THỦ ĐỨC, CHIẾC KHẤU 8% HTLS 30 THÁNG","8,8 tỷ",88 m²,100 tr/m²,2,2,"Thủ Đức, Hồ Chí Minh"
"Bán căn phố cổ - homestay Hàng Vôi - Hoàn Kiếm - sổ to, DT 40tr/tháng full nội thất Pháp nhỉnh 6 tỷ",Giá thỏa thuận,75 m²,N/A,2,N/A,"Lý Thái Tổ, Hoàn Kiếm"
"Nhà chính chủ Vọng Hà, 5p đi bộ ra bờ hồ","2,75 tỷ",55 m²,50 tr/m²,2,2,"Chương Dương, Hoàn Kiếm"
"Hoa hậu phố cổ! Homestay Hàng Vôi, Hoàn Kiếm, dòng tiền 40tr/tháng, 75m2 2PN nhà đẹp chỉ 6,68 tỷ","6,68 tỷ",75 m²,"89,07 tr/m²",2,1,"Lý Thái Tổ, Hoàn Kiếm"
"Chuyển nhượng căn hộ 3 phòng ngủ chung cư The Grand Hà Nội, Hàng Bài, Hoàn Kiếm chỉ 109 tỷ",109 tỷ,164 m²,"664,63 tr/m²",3,2,"Hàng Bài, Hoàn Kiếm"
"Giá rẻ! Chỉ 3,49 tỷ tập thể Hàng Vôi, Ba Đình, 2 thoáng, làm homestay 60m2 2PN ở ngay","3,49 tỷ",60 m²,"58,17 tr/m²",2,1,"Lý Thái Tổ, Hoàn Kiếm"
Hoa hậu phố cổ - Homestay Hàng Vôi - Hoàn Kiếm - Căn góc 60m2 chỉ 3.5 tỷ - Giá đầu tư,"3,5 tỷ",60 m²,"58,33 tr/m²",N/A,N/A,"Lý Thái Tổ, Hoàn Kiếm"
Quá hiếm! TT Nguyên Văn Tố - Chợ Hàng Da - Hoàn Kiếm - lô góc - Sổ to 60m2 - 2 ngủ ở luôn chỉ 3.5tỷ,"3,5 tỷ",60 m²,"58,33 tr/m²",2,N/A,"Cửa Đông, Hoàn Kiếm"
"(Chính chủ) Bán căn hộ 75m2 2 ngủ 2 vệ sinh, mặt phố Trần Hưng Đạo, giá 6 tỷ",6 tỷ,75 m²,80 tr/m²,2,2,"Trần Hưng Đạo, Hoàn Kiếm"
Homestay Hoàn Kiếm mặt phố gần nhà hát lớn dòng tiền 40 triệu/tháng,"4,5 tỷ",50 m²,90 tr/m²,2,1,"Trần Hưng Đạo, Hoàn Kiếm"
"Căn hộ The Grand Hà Nội, Hàng Bài, Hoàn Kiếm, 3 ngủ chỉ 115 tỷ",115 tỷ,150 m²,"766,67 tr/m²",3,2,"Hàng Bài, Hoàn Kiếm"
"Chuyển nhượng căn hộ The Grand Hà Nội, Hàng Bài, Hoàn Kiếm, 3 phòng ngủ chỉ 145 tỷ",145 tỷ,152 m²,"953,95 tr/m²",3,2,"Hàng Bài, Hoàn Kiếm"
"Tôi cần bán nhà TT phố cổ Hàng Bồ Hoàn Kiếm DT 27m2, có tầng lửng, bếp vệ sinh riêng giá 2.1 tỷ","2,1 tỷ",27 m²,"77,78 tr/m²",2,1,"Hàng Bồ, Hoàn Kiếm"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
"Bán căn hộ tập thể Ngô Quyền, 50m2, 1 ngủ, 1 khách, 1 WC, 1 ban công, full nội thất, về ở luôn","4,39 tỷ",50 m²,"87,8 tr/m²",1,1,"Lý Thái Tổ, Hoàn Kiếm"
"Chuyển nhượng căn hộ The Grand Hà Nội, Hàng Bài, Hoàn Kiếm, 3 ngủ chỉ 80 tỷ",80 tỷ,141 m²,"567,38 tr/m²",3,2,"Hàng Bài, Hoàn Kiếm"
"Lý Nam Đế - khu vip an ninh tuyệt đối, đẳng cấp giới tinh hoa - chủ tặng full nội thất","6,5 tỷ",70 m²,"92,86 tr/m²",2,2,"Hàng Mã, Hoàn Kiếm"
"Bán căn hộ cao cấp Lý Nam Đế khu vực vip, an ninh đảm bảo","6,5 tỷ",70 m²,"92,86 tr/m²",2,2,"Cửa Đông, Hoàn Kiếm"
Mở bán tòa PR2 mặt hồ San Hô - View đẹp nhất - Vip nhất - chiết khấu 12% cho khách booking sớm,Giá thỏa thuận,68 m²,N/A,2,2,"Gia Lâm, Hà Nội"
"Bán chung cư VIP phố Lý Nam Đế khu phân của Bộ Chính Trị, an ninh tuyệt đối 70m sổ đỏ - miễntgian","6,5 tỷ",70 m²,"92,86 tr/m²",2,2,"Cửa Đông, Hoàn Kiếm"
"Bán penthouse đẳng cấp thượng lưu giữa lòng Hà Nội.
Hàng xóm toàn là những người nổi tiếng bậc nhất",106 tỷ,500 m²,212 tr/m²,6,6,"Phan Chu Trinh, Hoàn Kiếm"
"Bán nhà riêng tầng 2 đầy đủ tiện nghi, ngõ 58 Hàng Bồ, Hoà Kiếm, Hà Nội","2,9 tỷ",23 m²,"126,09 tr/m²",1,2,"Hàng Bồ, Hoàn Kiếm"
"Siêu phẩm tập thể Lý Thường Kiệt - Hoàn Kiếm ôtô đỗ cửa chỉ 2,6 tỷ","2,6 tỷ",32 m²,"81,25 tr/m²",2,2,"Cửa Nam, Hoàn Kiếm"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
