Year,Value
2015,2577.56885340113
2016,2735.0604380416
2017,2956.10992127753
2018,3222.31003125366
2019,3440.90025375434
2020,3534.03953482647
2021,3704.1935590038
2022,4116.38576094153
2023,4282.08851724506
